STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,COU,Country,TAX,Income Tax,TIME_PERIOD,Year,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,TUR,Türkiye,PER_ARATE,Personal income tax & employee social security contributions (All-in rate),2020,,40.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,TUR,Türkiye,PER_ARATE,Personal income tax & employee social security contributions (All-in rate),2021,,40.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,TUR,Türkiye,PER_ARATE,Personal income tax & employee social security contributions (All-in rate),2022,,40.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,USA,United States,PERS_ITAX,Personal income tax,2000,,46.5075,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,USA,United States,PERS_ITAX,Personal income tax,2001,,45.9125,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,USA,United States,PERS_ITAX,Personal income tax,2002,,45.2175,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,USA,United States,PERS_ITAX,Personal income tax,2003,,41.4225,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,USA,United States,PERS_ITAX,Personal income tax,2004,,41.375,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,USA,United States,PERS_ITAX,Personal income tax,2005,,41.275,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,USA,United States,PERS_ITAX,Personal income tax,2006,,41.275,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,USA,United States,PERS_ITAX,Personal income tax,2007,,41.275,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,USA,United States,PERS_ITAX,Personal income tax,2008,,41.725,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,USA,United States,PERS_ITAX,Personal income tax,2009,,41.725,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,USA,United States,PERS_ITAX,Personal income tax,2010,,41.725,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,USA,United States,PERS_ITAX,Personal income tax,2011,,41.725,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,USA,United States,PERS_ITAX,Personal income tax,2012,,41.78,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,USA,United States,PERS_ITAX,Personal income tax,2013,,46.25,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,USA,United States,PERS_ITAX,Personal income tax,2014,,46.25,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,USA,United States,PERS_ITAX,Personal income tax,2015,,46.25,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,USA,United States,PERS_ITAX,Personal income tax,2016,,46.25,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,USA,United States,PERS_ITAX,Personal income tax,2017,,46.25,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,USA,United States,PERS_ITAX,Personal income tax,2018,,43.65,,A,,PC,Percentage,0,Units,,
